NOTA_ID;ALUNO;ATIVIDADE;NOTA
1;1;1;8
2;1;2;10
3;1;3;1
4;1;4;4
5;1;5;10
6;1;6;6
7;1;7;7
8;1;8;7
9;1;9;1
10;1;10;5
11;1;11;9
12;1;12;9
13;1;13;9
14;1;14;9
15;1;15;9
16;1;16;7
17;1;17;4
18;1;18;1
19;1;19;7
20;1;20;10
21;1;21;10
22;1;22;4
23;1;23;5
24;2;1;3
25;2;2;7
26;2;3;9
27;2;4;3
28;2;5;7
29;2;6;3
30;2;7;6
31;2;8;7
32;2;9;8
33;2;10;9
34;2;11;2
35;2;12;6
36;2;13;5
37;2;14;6
38;2;15;2
39;2;16;4
40;2;17;8
41;2;18;9
42;2;19;9
43;2;20;9
44;2;21;9
45;2;22;9
46;2;23;9
47;3;1;9
48;3;2;9
49;3;3;9
50;3;4;9
51;3;5;6
52;3;6;2
53;3;7;6
54;3;8;7
55;3;9;2
56;3;10;2
57;3;11;0
58;3;12;6
59;3;13;5
60;3;14;5
61;3;15;0
62;3;16;6
63;3;17;5
64;3;18;6
65;3;19;5
66;3;20;5
67;3;21;3
68;3;22;1
69;3;23;5
70;4;1;1
71;4;2;1
72;4;3;8
73;4;4;4
74;4;5;2
75;4;6;2
76;4;7;7
77;4;8;7
78;4;9;10
79;4;10;10
80;4;11;10
81;4;12;10
82;4;13;10
83;4;14;10
84;4;15;10
85;4;16;10
86;4;17;10
87;4;18;10
88;4;19;10
89;4;20;10
90;4;21;10
91;4;22;10
92;4;23;10
93;5;1;10
94;5;2;10
95;5;3;10
96;5;4;10
97;5;5;10
98;5;6;0
99;5;7;8
100;5;8;7
101;5;9;7
102;5;10;1
103;5;11;9
104;5;12;1
105;5;13;4
106;5;14;3
107;5;15;4
108;5;16;8
109;5;17;5
110;5;18;6
111;5;19;1
112;5;20;8
113;5;21;4
114;5;22;4
115;5;23;5
116;6;1;4
117;6;2;5
118;6;3;7
119;6;4;5
120;6;5;3
121;6;6;7
122;6;7;5
123;6;8;1
124;6;9;8
125;6;10;4
126;6;11;4
127;6;12;2
128;6;13;5
129;6;14;1
130;6;15;7
131;6;16;8
132;6;17;2
133;6;18;4
134;6;19;6
135;6;20;4
136;6;21;1
137;6;22;5
138;6;23;9
139;7;1;4
140;7;2;5
141;7;3;9
142;7;4;7
143;7;5;9
144;7;6;9
145;7;7;5
146;7;8;4
147;7;9;3
148;7;10;2
149;7;11;2
150;7;12;7
151;7;13;4
152;7;14;7
153;7;15;5
154;7;16;7
155;7;17;4
156;7;18;7
157;7;19;4
158;7;20;3
159;7;21;9
160;7;22;6
161;7;23;8
162;8;1;2
163;8;2;8
164;8;3;4
165;8;4;9
166;8;5;2
167;8;6;3
168;8;7;0
169;8;8;8
170;8;9;9
171;8;10;5
172;8;11;9
173;8;12;2
174;8;13;2
175;8;14;7
176;8;15;5
177;8;16;7
178;8;17;7
179;8;18;8
180;8;19;8
181;8;20;2
182;8;21;8
183;8;22;6
184;8;23;8
185;9;1;10
186;9;2;6
187;9;3;1
188;9;4;2
189;9;5;10
190;9;6;8
191;9;7;8
192;9;8;7
193;9;9;3
194;9;10;3
195;9;11;7
196;9;12;7
197;9;13;2
198;9;14;0
199;9;15;8
200;9;16;2
201;9;17;5
202;9;18;8
203;9;19;3
204;9;20;3
205;9;21;4
206;9;22;8
207;9;23;5
208;10;1;7
209;10;2;8
210;10;3;7
211;10;4;7
212;10;5;7
213;10;6;7
214;10;7;7
215;10;8;7
216;10;9;7
217;10;10;7
218;10;11;7
219;10;12;7
220;10;13;7
221;10;14;7
222;10;15;7
223;10;16;7
224;10;17;7
225;10;18;7
226;10;19;7
227;10;20;7
228;10;21;7
229;10;22;7
230;10;23;7
231;11;1;7
232;11;2;7
233;11;3;7
234;11;4;7
235;11;5;7
236;11;6;7
237;11;7;7
238;11;8;7
239;11;9;7
240;11;10;7
241;11;11;7
242;11;12;7
243;11;13;7
244;11;14;7
245;11;15;9
246;11;16;8
247;11;17;10
248;11;18;8
249;11;19;7
250;11;20;9
251;11;21;6
252;11;22;4
253;11;23;4
254;12;1;9
255;12;2;8
256;12;3;10
257;12;4;4
258;12;5;9
259;12;6;8
260;12;7;5
261;12;8;6
262;12;9;2
263;12;10;5
264;12;11;6
265;12;12;6
266;12;13;6
267;12;14;7
268;12;15;2
269;12;16;1
270;12;17;3
271;12;18;7
272;12;19;5
273;12;20;7
274;12;21;7
275;12;22;6
276;12;23;7
277;13;1;9
278;13;2;5
279;13;3;3
280;13;4;1
281;13;5;4
282;13;6;3
283;13;7;5
284;13;8;1
285;13;9;1
286;13;10;4
287;13;11;4
288;13;12;3
289;13;13;3
290;13;14;6
291;13;15;1
292;13;16;7
293;13;17;9
294;13;18;7
295;13;19;2
296;13;20;7
297;13;21;8
298;13;22;2
299;13;23;10
300;14;1;6
301;14;2;2
302;14;3;6
303;14;4;4
304;14;5;9
305;14;6;1
306;14;7;5
307;14;8;4
308;14;9;1
309;14;10;1
310;14;11;1
311;14;12;3
312;14;13;2
313;14;14;4
314;14;15;5
315;14;16;9
316;14;17;2
317;14;18;6
318;14;19;6
319;14;20;5
320;14;21;3
321;14;22;6
322;14;23;9
323;15;1;9
324;15;2;8
325;15;3;5
326;15;4;2
327;15;5;3
328;15;6;3
329;15;7;2
330;15;8;2
331;15;9;8
332;15;10;4
333;15;11;2
334;15;12;1
335;15;13;3
336;15;14;1
337;15;15;2
338;15;16;8
339;15;17;3
340;15;18;9
341;15;19;6
342;15;20;6
343;15;21;6
344;15;22;6
345;15;23;6
346;16;1;7
347;16;2;1
348;16;3;2
349;16;4;1
350;16;5;7
351;16;6;3
352;16;7;6
353;16;8;1
354;16;9;8
355;16;10;2
356;16;11;8
357;16;12;2
358;16;13;2
359;16;14;5
360;16;15;4
361;16;16;7
362;16;17;1
363;16;18;7
364;16;19;8
365;16;20;2
366;16;21;7
367;16;22;3
